FWR=0.0P=0.6
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Assisted
~di_na,254.389+-522.379,75.644+-173.134,595.840+-316.059,0.000+-0.000,23/100,19/100,58/100
"
"
FWR=0.7P=0.4
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Assisted
expert,394.439+-549.684,117.698+-182.082,577.030+-322.790,651.772+-471.039,33/100,13/100,54/100
laggy,333.138+-522.337,95.004+-180.747,591.750+-329.897,657.599+-466.053,28/100,17/100,55/100
noisy,400.795+-569.287,123.831+-193.775,544.930+-309.244,597.649+-402.242,35/100,15/100,50/100
random,300.502+-515.946,76.807+-157.909,577.600+-312.998,588.895+-322.616,26/100,15/100,59/100
zero,288.598+-557.678,84.811+-177.484,550.520+-323.480,384.511+-229.124,27/100,20/100,53/100
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Not Assisted
expert,905.156+-532.549,328.947+-227.082,380.320+-226.197,0.000+-0.000,80/100,13/100,7/100
laggy,878.958+-553.650,325.350+-232.512,387.960+-239.388,0.000+-0.000,78/100,14/100,8/100
noisy,82.047+-248.301,6.718+-51.776,580.530+-426.850,0.000+-0.000,4/100,48/100,48/100
random,-218.703+-121.715,-206.610+-120.930,109.690+-27.026,0.000+-0.000,0/100,100/100,0/100
zero,-147.074+-39.631,-210.473+-62.045,71.420+-11.943,0.000+-0.000,0/100,100/100,0/100
~di_na,254.389+-522.379,75.644+-173.134,595.840+-316.059,0.000+-0.000,23/100,19/100,58/100
"
"
FWR=0.6P=0.85
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Assisted
expert,426.752+-544.843,127.091+-186.010,574.470+-331.644,619.611+-474.970,35/100,12/100,53/100
laggy,393.558+-571.010,118.431+-185.326,629.470+-324.087,687.032+-469.897,34/100,11/100,55/100
noisy,403.472+-586.528,122.672+-193.635,535.340+-319.410,541.872+-329.523,36/100,19/100,45/100
random,327.712+-566.446,100.158+-186.060,603.050+-330.772,605.044+-333.215,30/100,20/100,50/100
zero,367.137+-563.633,119.041+-200.655,538.510+-322.298,387.628+-242.439,32/100,17/100,51/100
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Not Assisted
expert,905.019+-532.841,328.796+-227.235,381.030+-227.644,0.000+-0.000,80/100,13/100,7/100
laggy,77.982+-590.249,-24.851+-304.875,265.500+-199.910,0.000+-0.000,21/100,74/100,5/100
noisy,-112.325+-90.654,-96.877+-76.743,121.730+-31.671,0.000+-0.000,0/100,100/100,0/100
random,-218.703+-121.715,-206.610+-120.930,109.690+-27.026,0.000+-0.000,0/100,100/100,0/100
zero,-147.074+-39.631,-210.473+-62.045,71.420+-11.943,0.000+-0.000,0/100,100/100,0/100
~di_na,256.074+-532.318,70.707+-168.048,605.080+-306.028,0.000+-0.000,24/100,22/100,54/100
"
"
FWR=0.6P=0.9
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Assisted
expert,345.903+-547.793,107.178+-188.050,574.150+-333.019,628.595+-451.395,30/100,18/100,52/100
laggy,273.866+-494.279,77.647+-163.103,571.550+-324.589,665.112+-451.922,23/100,17/100,60/100
noisy,393.084+-558.709,113.244+-179.930,566.090+-322.560,561.991+-324.709,34/100,18/100,48/100
random,346.470+-529.018,96.770+-172.401,558.500+-324.432,557.347+-318.031,29/100,16/100,55/100
zero,260.014+-482.996,61.423+-138.439,622.130+-328.968,430.955+-248.220,22/100,20/100,58/100
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Not Assisted
expert,905.156+-532.549,328.947+-227.082,380.320+-226.197,0.000+-0.000,80/100,13/100,7/100
laggy,-225.566+-379.711,-231.886+-286.970,173.550+-111.692,0.000+-0.000,5/100,95/100,0/100
noisy,-150.231+-114.132,-129.331+-99.035,118.880+-30.209,0.000+-0.000,0/100,100/100,0/100
random,-218.703+-121.715,-206.610+-120.930,109.690+-27.026,0.000+-0.000,0/100,100/100,0/100
zero,-147.074+-39.631,-210.473+-62.045,71.420+-11.943,0.000+-0.000,0/100,100/100,0/100
~di_na,254.389+-522.379,75.644+-173.134,595.840+-316.059,0.000+-0.000,23/100,19/100,58/100
"
"
FWR=0.3P=0.8
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Assisted
expert,876.565+-547.788,293.225+-210.152,436.190+-253.064,175.287+-181.067,77/100,11/100,12/100
laggy,793.819+-570.176,253.766+-218.826,447.520+-277.318,200.015+-157.110,70/100,17/100,13/100
noisy,351.728+-530.113,113.618+-199.932,468.460+-362.668,301.471+-238.729,29/100,36/100,35/100
random,183.881+-437.726,59.630+-180.794,441.110+-356.722,297.913+-247.302,16/100,43/100,41/100
zero,148.448+-418.510,31.535+-133.600,455.940+-338.992,254.499+-204.721,14/100,43/100,43/100
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Not Assisted
expert,905.156+-532.549,328.947+-227.082,380.320+-226.197,0.000+-0.000,80/100,13/100,7/100
laggy,519.273+-682.026,159.844+-263.958,332.320+-199.556,0.000+-0.000,52/100,46/100,2/100
noisy,-97.603+-102.222,-79.254+-78.233,149.620+-134.223,0.000+-0.000,0/100,98/100,2/100
random,-218.703+-121.715,-206.610+-120.930,109.690+-27.026,0.000+-0.000,0/100,100/100,0/100
zero,-147.074+-39.631,-210.473+-62.045,71.420+-11.943,0.000+-0.000,0/100,100/100,0/100
~di_na,254.389+-522.379,75.644+-173.134,595.840+-316.059,0.000+-0.000,23/100,19/100,58/100
"
"
FWR=0.9P=0.6
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Assisted
expert,314.970+-527.173,104.114+-196.657,581.390+-331.759,649.293+-469.236,27/100,18/100,55/100
laggy,356.969+-534.004,97.256+-164.444,610.570+-302.223,698.404+-486.427,30/100,13/100,57/100
noisy,318.150+-560.006,97.715+-183.347,543.580+-322.890,568.644+-355.757,29/100,21/100,50/100
random,298.155+-540.858,85.825+-167.030,578.340+-313.814,590.460+-320.422,27/100,17/100,56/100
zero,253.970+-518.542,77.400+-180.350,595.210+-333.833,425.176+-255.671,23/100,20/100,57/100
actor,reward,avg_reward,ep length,action diffs,success,game over,floating,Not Assisted
expert,905.156+-532.549,328.947+-227.082,380.320+-226.197,0.000+-0.000,80/100,13/100,7/100
laggy,847.326+-564.562,316.101+-238.824,377.400+-237.367,0.000+-0.000,75/100,16/100,9/100
noisy,-26.356+-84.737,-26.230+-62.640,216.360+-259.273,0.000+-0.000,0/100,91/100,9/100
